,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS,DIFF (%),PROFIT $
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME,DIFF (%),PROFIT $
93,QCOM,152, $79.66 ,"February 26, 2020 at 12:00:00 AM",QCOM,152, $77.13 ,"February 27, 2020 at 12:00:00 AM",-3.176005891,-384.5609741
94,TMUS,126, $93.29 ,"March 02, 2020 at 12:00:00 AM",TMUS,126, $92.63 ,"March 03, 2020 at 12:00:00 AM",-0.707475245,-83.16046143
95,AMD,250, $46.75 ,"March 03, 2020 at 12:00:00 AM",AMD,250, $49.44 ,"March 06, 2020 at 12:00:00 AM",5.754007758,672.4996567
96,KO,238, $51.86 ,"March 09, 2020 at 12:00:00 AM",KO,238, $48.54 ,"March 12, 2020 at 12:00:00 AM",-6.401850474,-790.1599274
97,AMD,299, $38.71 ,"March 16, 2020 at 12:00:00 AM",AMD,299, $41.51 ,"March 20, 2020 at 12:00:00 AM",7.233271256,837.1997719
98,SNE,234, $53.06 ,"March 20, 2020 at 12:00:00 AM",SNE,234, $56.30 ,"March 24, 2020 at 12:00:00 AM",6.106290577,758.1595001
99,AMD,285, $46.22 ,"March 24, 2020 at 12:00:00 AM",AMD,285, $45.78 ,"March 26, 2020 at 12:00:00 AM",-0.951974102,-125.4006958
100,QCOM,189, $69.03 ,"March 30, 2020 at 12:00:00 AM",QCOM,189, $65.00 ,"April 01, 2020 at 12:00:00 AM",-5.838039766,-761.6697693
101,AAPL,204, $60.23 ,"April 01, 2020 at 12:00:00 AM",AAPL,204, $60.08 ,"April 02, 2020 at 12:00:00 AM",-0.236605917,-29.07037354
102,AAPL,200, $61.23 ,"April 02, 2020 at 12:00:00 AM",AAPL,200, $60.70 ,"April 03, 2020 at 12:00:00 AM",-0.869632012,-106.4994812
103,AAPL,201, $60.35 ,"April 03, 2020 at 12:00:00 AM",AAPL,201, $67.70 ,"April 07, 2020 at 12:00:00 AM",12.17430251,1476.846703
104,AAPL,210, $64.86 ,"April 07, 2020 at 12:00:00 AM",AAPL,210, $70.00 ,"April 14, 2020 at 12:00:00 AM",7.928924143,1079.925385
105,AAPL,205, $71.76 ,"April 14, 2020 at 12:00:00 AM",AAPL,205, $70.60 ,"April 15, 2020 at 12:00:00 AM",-1.619924785,-238.3121872
106,AAPL,203, $71.11 ,"April 15, 2020 at 12:00:00 AM",AAPL,203, $69.49 ,"April 20, 2020 at 12:00:00 AM",-2.278233884,-328.8590088
107,AAPL,204, $69.23 ,"April 20, 2020 at 12:00:00 AM",AAPL,204, $69.07 ,"April 21, 2020 at 12:00:00 AM",-0.234714157,-33.14968872
108,AAPL,210, $67.09 ,"April 21, 2020 at 12:00:00 AM",AAPL,210, $71.27 ,"April 28, 2020 at 12:00:00 AM",6.226475299,877.2745514
109,AAPL,215, $69.64 ,"April 28, 2020 at 12:00:00 AM",AAPL,215, $73.76 ,"May 05, 2020 at 12:00:00 AM",5.915719643,885.8005905
110,QCOM,204, $77.63 ,"May 05, 2020 at 12:00:00 AM",QCOM,204, $77.50 ,"May 14, 2020 at 12:00:00 AM",-0.167457501,-26.5194397
111,AAPL,204, $77.39 ,"May 14, 2020 at 12:00:00 AM",AAPL,204, $75.09 ,"May 15, 2020 at 12:00:00 AM",-2.968922332,-468.6901245
112,AAPL,200, $76.93 ,"May 15, 2020 at 12:00:00 AM",AAPL,200, $80.88 ,"May 26, 2020 at 12:00:00 AM",5.131457861,789.5004272
113,AAPL,204, $79.18 ,"May 26, 2020 at 12:00:00 AM",AAPL,204, $79.04 ,"May 27, 2020 at 12:00:00 AM",-0.186277371,-30.08981323
114,AAPL,203, $79.53 ,"May 27, 2020 at 12:00:00 AM",AAPL,203, $79.19 ,"May 28, 2020 at 12:00:00 AM",-0.421236805,-68.00481415
115,AAPL,202, $79.56 ,"May 28, 2020 at 12:00:00 AM",AAPL,202, $79.44 ,"June 01, 2020 at 12:00:00 AM",-0.157109191,-25.25
116,MSFT,87, $182.83 ,"June 01, 2020 at 12:00:00 AM",MSFT,87, $182.62 ,"June 05, 2020 at 12:00:00 AM",-0.114864471,-18.27058411
117,AAPL,193, $82.88 ,"June 05, 2020 at 12:00:00 AM",AAPL,193, $82.56 ,"June 08, 2020 at 12:00:00 AM",-0.377073906,-60.3125
118,AAPL,191, $83.36 ,"June 08, 2020 at 12:00:00 AM",AAPL,191, $83.04 ,"June 09, 2020 at 12:00:00 AM",-0.395842632,-63.02889252
119,AAPL,185, $86.00 ,"June 09, 2020 at 12:00:00 AM",AAPL,185, $83.31 ,"June 15, 2020 at 12:00:00 AM",-3.122181034,-496.7245483
120,AAPL,179, $85.75 ,"June 15, 2020 at 12:00:00 AM",AAPL,179, $91.00 ,"June 23, 2020 at 12:00:00 AM",6.12554604,940.197937
121,MSFT,81, $201.91 ,"June 23, 2020 at 12:00:00 AM",MSFT,81, $201.60 ,"June 24, 2020 at 12:00:00 AM",-0.153532541,-25.10980225
122,QCOM,183, $89.14 ,"June 24, 2020 at 12:00:00 AM",QCOM,183, $88.70 ,"June 25, 2020 at 12:00:00 AM",-0.493608307,-80.52044678
123,QCOM,182, $88.96 ,"June 25, 2020 at 12:00:00 AM",QCOM,182, $88.21 ,"June 29, 2020 at 12:00:00 AM",-0.843075548,-136.5
124,QCOM,181, $89.01 ,"June 29, 2020 at 12:00:00 AM",QCOM,181, $93.95 ,"July 09, 2020 at 12:00:00 AM",5.549932247,894.139061
125,AAPL,177, $95.75 ,"July 09, 2020 at 12:00:00 AM",AAPL,177, $95.33 ,"July 10, 2020 at 12:00:00 AM",-0.436023442,-73.89809418
126,AAPL,176, $95.92 ,"July 10, 2020 at 12:00:00 AM",AAPL,176, $94.84 ,"July 14, 2020 at 12:00:00 AM",-1.125940212,-190.0803223
127,AAPL,172, $97.06 ,"July 14, 2020 at 12:00:00 AM",AAPL,172, $96.56 ,"July 16, 2020 at 12:00:00 AM",-0.51000977,-85.14047241
128,AAPL,172, $96.52 ,"July 16, 2020 at 12:00:00 AM",AAPL,172, $96.42 ,"July 20, 2020 at 12:00:00 AM",-0.108778501,-18.05926514
129,AAPL,169, $98.36 ,"July 20, 2020 at 12:00:00 AM",AAPL,169, $96.69 ,"July 22, 2020 at 12:00:00 AM",-1.692805273,-281.3851547
130,AAPL,168, $97.27 ,"July 22, 2020 at 12:00:00 AM",AAPL,168, $97.00 ,"July 23, 2020 at 12:00:00 AM",-0.282712512,-46.20025635
131,AAPL,175, $92.85 ,"July 23, 2020 at 12:00:00 AM",AAPL,175, $90.99 ,"July 24, 2020 at 12:00:00 AM",-2.00064424,-325.0621796
132,AAPL,172, $92.61 ,"July 24, 2020 at 12:00:00 AM",AAPL,172, $102.89 ,"July 31, 2020 at 12:00:00 AM",11.08892135,1766.440735
133,QCOM,168, $105.61 ,"July 31, 2020 at 12:00:00 AM",QCOM,168, $111.00 ,"August 05, 2020 at 12:00:00 AM",5.103682756,905.5198975
134,AAPL,169, $110.06 ,"August 05, 2020 at 12:00:00 AM",AAPL,169, $116.06 ,"August 17, 2020 at 12:00:00 AM",5.451448041,1014
