,BUYS,,,,SELLS,,,
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
177,JNJ,128,148.0800018,"May 06, 2020 at 12:00:00 AM",JNJ,128,149.3699951,"May 07, 2020 at 12:00:00 AM"
178,INTC,324,59.16999817,"May 07, 2020 at 12:00:00 AM",INTC,324,59.66999817,"May 08, 2020 at 12:00:00 AM"
179,TMUS,196,98.51999664,"May 08, 2020 at 12:00:00 AM",TMUS,196,99.13999939,"May 20, 2020 at 12:00:00 AM"
180,AMD,345,56.38999939,"May 20, 2020 at 12:00:00 AM",AMD,345,56.68000031,"May 21, 2020 at 12:00:00 AM"
181,AAPL,247,79.21250153,"May 21, 2020 at 12:00:00 AM",AAPL,247,80.875,"May 26, 2020 at 12:00:00 AM"
182,AAPL,252,79.18250275,"May 26, 2020 at 12:00:00 AM",AAPL,252,79.8125,"May 29, 2020 at 12:00:00 AM"
183,QCOM,252,79.73000336,"June 01, 2020 at 12:00:00 AM",QCOM,252,84.94999695,"June 03, 2020 at 12:00:00 AM"
184,QCOM,255,84.11000061,"June 03, 2020 at 12:00:00 AM",QCOM,255,88,"June 05, 2020 at 12:00:00 AM"
185,QCOM,253,88.55000305,"June 05, 2020 at 12:00:00 AM",QCOM,253,89,"June 08, 2020 at 12:00:00 AM"
186,AAPL,270,83.36499786,"June 08, 2020 at 12:00:00 AM",AAPL,270,86.97499847,"June 10, 2020 at 12:00:00 AM"
187,AMD,409,57.43999863,"June 10, 2020 at 12:00:00 AM",AMD,409,57.81000137,"July 21, 2020 at 12:00:00 AM"
188,AAPL,244,97,"July 21, 2020 at 12:00:00 AM",AAPL,244,102.8850021,"July 31, 2020 at 12:00:00 AM"
189,INTC,526,47.72999954,"July 31, 2020 at 12:00:00 AM",INTC,526,48.27000046,"August 03, 2020 at 12:00:00 AM"
190,QCOM,229,110.9499969,"August 04, 2020 at 12:00:00 AM",QCOM,229,116.1999969,"August 13, 2020 at 12:00:00 AM"
191,AAPL,231,115.0100021,"August 13, 2020 at 12:00:00 AM",AAPL,231,116.0625,"August 17, 2020 at 12:00:00 AM"
192,MSFT,127,210.2799988,"August 17, 2020 at 12:00:00 AM",MSFT,127,211.4900055,"August 19, 2020 at 12:00:00 AM"
193,AAPL,233,115.7074966,"August 19, 2020 at 12:00:00 AM",AAPL,233,119.2624969,"August 21, 2020 at 12:00:00 AM"
194,AAPL,223,124.3700027,"August 21, 2020 at 12:00:00 AM",AAPL,223,128.6974945,"August 24, 2020 at 12:00:00 AM"
195,INTC,586,49.13999939,"August 24, 2020 at 12:00:00 AM",INTC,586,49.38999939,"August 26, 2020 at 12:00:00 AM"
196,AAPL,228,126.5224991,"August 26, 2020 at 12:00:00 AM",AAPL,228,127.5800018,"August 31, 2020 at 12:00:00 AM"
197,QCOM,245,119.0999985,"August 31, 2020 at 12:00:00 AM",QCOM,245,121.0800018,"September 01, 2020 at 12:00:00 AM"
198,AAPL,221,134.1799927,"September 01, 2020 at 12:00:00 AM",AAPL,221,137.5899963,"September 02, 2020 at 12:00:00 AM"
199,MSFT,131,231.6499939,"September 02, 2020 at 12:00:00 AM",MSFT,131,220.1499939,"October 16, 2020 at 12:00:00 AM"
200,MSFT,131,219.6600037,"October 16, 2020 at 12:00:00 AM",MSFT,131,222.0399933,"November 05, 2020 at 12:00:00 AM"
