,,,,,,,,Death Cross Shooting Star & Golden Cross Strategy Results,,,,,,,,,,,
,Shortlist,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Annual Return (%),Mean Annual Return (%),Profit ($),Win Rate
49,,AAPL,5.583570957183838,5.635000228881836,1986.0,0.05142927169799805,0.9210820833543631,,,,,,,,,,,,,,
50,,AAPL,5.639999866485596,5.838929176330566,1984.0,0.1989293098449707,3.527115506279751,,,,,,,,,,,,,,
51,,AAPL,5.996786117553711,6.07857084274292,1932.0,0.08178472518920898,1.3638092736009018,,,,,,,,,,,,,,
52,,AAPL,5.994999885559082,6.053214073181152,1959.0,0.05821418762207031,0.9710456836254198,,,,,,,,,,,,,,
53,,QCOM,41.470001220703125,41.689998626708984,285.0,0.21999740600585938,0.5304977080541531,,,,,,,,,,,,,,
54,,JNJ,65.94000244140625,66.37000274658203,180.0,0.43000030517578125,0.6521084156129293,,,,,,,,,,,,,,
55,,JNJ,66.30999755859375,66.7300033569336,180.0,0.42000579833984375,0.6333973967782346,,,,,,,,,,,,,,
56,,PEP,74.05999755859375,75.0,163.0,0.94000244140625,1.2692444941853422,,,,,,,,,,,,,,
57,,JNJ,67.63999938964844,67.98999786376953,180.0,0.34999847412109375,0.5174430474265457,,,,,,,,,,,,,,
58,,MSFT,33.59000015258789,33.91999816894531,365.0,0.3299980163574219,0.9824293386673226,,,,,,,,,,,,,,
59,,JNJ,67.73999786376953,68.19000244140625,183.0,0.45000457763671875,0.6643114730261925,,,,,,,,,,,,,,
60,,JNJ,68.30000305175781,62.59000015258789,182.0,-5.710002899169922,-8.360179566672752,,,,,,,,,,,,,,
61,,JNJ,63.40999984741211,64.73999786376953,180.0,1.3299980163574219,2.0974578450684254,,,,,,,,,,,,,,
62,,JNJ,65.30999755859375,65.8499984741211,179.0,0.5400009155273438,0.8268273399380769,,,,,,,,,,,,,,
63,,PEP,71.41999816894531,71.91000366210938,165.0,0.4900054931640625,0.6860900388221035,,,,,,,,,,,,,,
64,,AAPL,5.567500114440918,5.682857036590576,2132.0,0.1153569221496582,2.0719698208976545,,,,,,,,,,,,,,
65,,MSFT,30.0,30.190000534057617,403.0,0.1900005340576172,0.6333351135253906,,,,,,,,,,,,,,
66,,JNJ,66.31999969482422,67.12000274658203,183.0,0.8000030517578125,1.2062772247271991,,,,,,,,,,,,,,
67,,AAPL,5.817500114440918,5.90500020980835,2121.0,0.08750009536743164,1.5040841194008419,,,,,,,,,,,,,,
68,,AAPL,6.033570766448975,6.096428871154785,2076.0,0.06285810470581055,1.0418060405514287,,,,,,,,,,,,,,
69,,AAPL,6.06178617477417,6.1110711097717285,2087.0,0.049284934997558594,0.8130431126497907,,,,,,,,,,,,,,
70,,AAPL,6.251786231994629,6.292500019073486,2040.0,0.04071378707885742,0.651234472325643,,,,,,,,,,,,,,
71,,AAPL,6.212500095367432,6.248570919036865,2067.0,0.036070823669433594,0.5806168710778945,,,,,,,,,,,,,,
72,,AAPL,6.4285712242126465,6.497142791748047,2009.0,0.06857156753540039,1.0666688622369405,,,,,,,,,,,,,,
73,,AAPL,6.597499847412109,6.6446428298950195,1978.0,0.047142982482910156,0.7145582959187509,,,,,,,,,,,,,,
74,,AAPL,6.521070957183838,6.56321382522583,2016.0,0.04214286804199219,0.6462568544138619,,,,,,,,,,,,,,
75,,AAPL,6.609285831451416,6.7360711097717285,2002.0,0.1267852783203125,1.918290138353271,,,,,,,,,,,,,,
76,,JNJ,66.41000366210938,66.9800033569336,203.0,0.5699996948242188,0.8583039653548995,,,,,,,,,,,,,,
77,,JNJ,66.68000030517578,67.0999984741211,203.0,0.4199981689453125,0.629871276279391,,,,,,,,,,,,,,
78,,JNJ,67.69999694824219,68.44000244140625,202.0,0.7400054931640625,1.0930657703423672,,,,,,,,,,,,,,
